Title,Company,Location,Salary,Job URL,Job Name
Sr Data Analyst,Jobot,"Indianapolis, IN",$100K - $110K / yr,https://www.ziprecruiter.com/k/l/AAJWojXPqyPzI7nsl7eO0T3e5R-jfMICwODQ-eUgXK9LhH4OmDLpQLz9oUtyG8bnJIzt_ZwyDCYvy-HhbK95mpiQuVDFTOXdRtimvFoBgXT3WRWUl_0QyZ5p5iLgV1LbgyeA0vArZkAXnn8g1sOW5TrV1WZt11TYzHilWt8b2AdAVLtdA_J0KGnzyZglsEWiYMQ4Qj7rJUR_dGx0nUBOMzos6sGN21rqzoLvDBRWrkOH1vuJGaC1iAnvUdgLy3m-B_GeZM5up6mRxGXh-p9bftqpDcjaK8GKhzT4g4tEoS8Gf0z8Ag5dZ5-bD-zMQNh-eLiVrVc,Data Analyst
Data AnalystNEW!,IonTuition,"Schaumburg, IL",$55K - $70K / yr,https://www.ziprecruiter.com/k/l/AAINhFUeiTRZQJG03869_JsyEVXkbKeWqv8hBApfAJ9B_yTTErPWvpTmvYgywyui8vJX_Wb86Ja9YrcEVMTpr3OumK6OPVvZRX_JQ99Z-4DtRJAyMLZ1qj9qy5TGhrjVDy5CdbZI_VuPfF1Cx4irGGBK0-cTXnBk0Z3Gba143bhuZ5QD0NCAN_ougEIvKGSAWLD7okQbImXw76PiN5hvFlyjtYvc_LsFcsxqsMpfjTI-1ct0TdElBvKri3ZRKANJGYPfBCBt_3Vb3wvOmBFEMAgRq1zIrHjU7qhWOAD-lUUKw2aWhqsakyB9-Jfqjh4wCwTmI7c,Data Analyst
Data Research Analyst,AuctionIQ,"Remote, OR",$62K - $68K / yr,https://www.ziprecruiter.com/k/l/AAJNzbWyqJPg35dlXpqCfqsmawjCEUQ5V4pt3VbJM0IiEDm7GIcvj0eKQUBW4ExQWeKgUx1Rzpj74HK4tdG_EExEwLQOEnf7ye6UEmslZzfMwDO-GhJGhlzrGo5aX_llbp_LRs4cdfpKTQQB9mPWl8dww0DkwOeoW7_Vy5fPh2T6InlkMe7qXTydLJdzEgFYqIeiRzutN1pYB8HEik4PtqSwiMHWTEasdFCkGrVGjTR8VjkM3sj2grlMeG5b9EgXenh1FM5sUFlPIyUJ6uG8E9CMhSQyyI5-nXNlb5DAl3BYyBz6u2wyFsRi-A,Data Analyst
Digital Marketing Data AnalystNEW!,Kelly,"Raynham, MA",$33 - $35 / hr,https://www.ziprecruiter.com/k/l/AAJiJ5Hnq2kI0y-sNYd_qLSSShiOu7SkFHR8yygaVzQKj2zyrMYkVBHOT396ZQYDHAoXpRrAB0NuMX5-AZhk9nPde853xijoVsTd2BquiXFESRfB1_ZmtKAu65Klia8vUuOLYmoUCEeBZsgwr9uF5qQSnfPK_nJUgz6Aysmi9RmI6yFftArBRK9fP2qFBzKnpuRqQsCxdNfd2JJCl7rytRvSEuBuqxKSJl-ErV2xtYrJWpcWEx4tVPZzZURKX46iiIcLW3sB9BwS0L18bfSBRUqzbW9oGsyw9yd7h4o7wX4AARC6UfpON_9swxrEOdxnhgleuvY,Data Analyst
Sr. Data AnalystNEW!,Data Ideology,"Pittsburgh, PA",$84K - $105K / yr,https://www.ziprecruiter.com/k/l/AALdUkqQ345HMCfZxrwXxpDOybQ1HbsugPbVIYnL7ECC28GGsYtvWEv2uDmcIkL9nN4jG10jU6V2Vru-ZB3thGAZJ_1RFBuSTD3NU_XoLkb5SVziT10a_29YWbjw0FRVyWiOCAa3FLD0IG_Wtd7Lq3bdD92QOxEVLPRz2X3yyrIm_QmjR4lU4_hO6ZWXVcoEgTTVXjs5cBubOD5lqjlxIDMzwiVla5nM6PsmG4G7yB_KqD4nMYXOpJOeEWugvL-LVO-v1LK8vTdJ9wVarn8xIDIRlcTkuAgWQXizzow5B0NADG3W95BLZamS,Data Analyst
Data AnalystNEW!,Custom Software Systems Inc.,"Leesburg, VA",Salary not specified,https://www.ziprecruiter.com/k/l/AAKNJPblnQ156x-Za4KNHb0qaTFGJl_b3yFcdIrIarCFwFJyVYJchngWeqrLenfJAv-ohfN3trOPooNa3zM9Cssg-O3SxE9lPLg_fsXu9IMxiEUcBvxyAOmh7lB8LhMBKi2e79BeAjmsNsKmLo901oUZSu6OrGiiPzl_40DbVWS3kd9z-ZpSZML7cdK2k9Ig3btVsLlFJv4tYT40ixop2hLzp77EiRxnh0XWa2F5sa2ZPWKtj-_Pzd7ceu85L9SQ8ro7VV0Gmb3jcD18saK5IBoWrDi5hGgvYw3isb_Nq-KKx8GzzXfSQsvp,Data Analyst
Data Analyst,NTT DATA,"Plano, TX",$80 - $100 / hr,https://www.ziprecruiter.com/k/l/AAKQjeoT3a16xTUXzhnOKMM_nDE8tAqBX8POf0IMtxNd83DFpS-AUY2TEA_tJMXiWPm-EWWu7wb-LGgkU_p1-lUnIrA6rnhx7s_1nFt5je6FqC4mqP-EOUFL_1dafY5wTe9fr5DokNQIBw6o9eqLbGpcd_po28fBR37wzYCaxyw0tRXJ0pROL7n2OAaYa3eacZePk8tr-skNhk0tS-Rt3lpQWkQZk-OkOtuJPAB64qqg8AROgNKEnRXsE59EMqQlV3t2KPKWovsTFpJmb1rlPGqdsC-U0kdYM2ZuDoaDTrpDjdDjtzno9TsB,Data Analyst
Data Analyst (Remote)NEW!,Blue Orange Digital,"Los Angeles, CA",$114K - $132K / yr,https://www.ziprecruiter.com/k/l/AAKnlnhKI20dblk6cs0GQKumfpxMqBBaND0FqrRxjROtBYKpXUSkIlK4RxC3GD8EK3GX6vyX48nwO64rOgh6k-KnAhddXuC9D7PwGQ9r25x5NKZZShij2ziaWQvqj52OQ8fCsPnVkpcxehwsmgwrSQt24tJAOWO0VZ_pkwgzioi9XkhaBxtt_QxDSaPq0Lj6aPELUxfOoDCJyQRwIdu3jq4JW0mBuosEyUwkQt-BFIUWstpe6oX9tgSpvUMxrjzor69_zSK7sByheacwBWwJ1hbUo8O_9SPFY91WTAh8LG1xMf9-tiBxZZZS,Data Analyst
Data AnalystNEW!,RIT Solutions,"Atlanta, GA",Salary not specified,https://www.ziprecruiter.com/k/l/AAJcSmcidPThfH645GftpHLu6z4pkaKmtkGrTZndPJCCasfuEeyUuU0dHSuSHGcB0ktz-l7MKS6oa58YTvs2ECPUizdMi497SK4dZ17MBPnHbQQ0xXTxCOl_3Idp7uBnWpHMdkgf--od7gi9KklaumAB0Y1Y7zEvQ20VtUKgusykstAjXxAqBOcISXqEeX7zd3jUZ02wpO18fTCx33i5tOid3YqW8EfQgah3tMOjhj3CPaCDbOtzW7W7_95bUoih-Mp0QpLDV-zh4mVmPxJI0qH_x5gA3UQEhRWqRWZpvDibZ0qzQWoguil6,Data Analyst
Data AnalystNEW!,"BizzyCar, Inc.",,Salary not specified,https://www.ziprecruiter.com/k/l/AAKfTNPgh-gDNS54cnbaWmvf_YROyfnRiTpJC7SatnouI38gat6XNNAKMuUKfGQnxdUD8tD0jXLOIpzZO4kknLXLFp95_hGMGINTm6vAOwTGe2TJSUQ75VFcJWj8QRYhS5IoDMDlTVhSY4PirEKdx6DKYJb7wjKFKQQdPOFz4TNDAQte-W2AqgvGpP4P5PTRNRdSwK4t7PFJnBwssYV-5JPZa0wUplvFYfsjtcvuoXCjfd4MmHSc5dlUXLariqDgLe8TmgN7cc50bOaFzIQCvcwOcve1l8mnm9XARKnTEvpVSLVbmhCHIVc0CA,Data Analyst
Associate Data AnalystNEW!,Genesis10,"Sunnyvale, CA",$39.81 - $53.62 / hr,https://www.ziprecruiter.com/k/l/AAI3uN9L7EdeSpCacOzFdDgz1R6RucIM4EVg6FCS_YUrs507KkpLvrINih3cy6lh5aC3B0LrO6bDtPULTCfWia9kIfnC0ITXzZrl8VwSt7hKPkH_ywZ55ZWhcHerbIHF9y4CaIOd0TTrUaFjVir2l4yGn9JJc-jYXxo2sRe4SILg52PgRZVNzhW0HvS3MQvQg8kYVfa8umMLgibAu8gvLSGIIhn7VD3BxInNQx9Mf3wVByciFriYKvX7VMR50hjKCAZ-BrhA8zwPsDUtNtL7xNd0swcKO_kNTlJ8-xjAvlzNcHoT34KXPaV8Lg,Data Analyst
DATA ANALYST (Remote)NEW!,EasyPay Finance,"Jacksonville, FL",$95K - $125K / yr,https://www.ziprecruiter.com/k/l/AAIHogLGMrYmQ5UGuOiiYw3NLh0vyF7YkyZJCH3iG7cRNGjpKpbTPv7A1QcaCA9fEmMgAE6c4FjGDS5LUJrcZoSXbPZIGihk4ncBg8-qRfH5C0Au66pcs86hUVVqqA09smDB5yDXHAbuRvLLFtf0gWbv4Slg2mwNpL4N8xyu18Z57965bpP75kkoDiF3vg8TxBFtM9xQ86IjPTraAHb-KvhGQfd2quSqtAFtBAYHFgmt8wysHvLjXMuqQJtIqIIBRw4ACEJezMd5ECsAfka7tNqwZQwylmnTNzRSDPhD51CBUd7Lqk9UCPhNNQ,Data Analyst
Data Analyst,CDC Foundation,"New York, NY","$71,999.98 / yr",https://www.ziprecruiter.com/k/l/AALRqTMwcaLEcVnCjc7hQV_1wWNnXLPY6wkCARyeuc9wsIp0PdxSQ9eyrtSgJYg1CLjqLZMAtGsrLYAspQN80SyWulYw0PYB1pBgtN325yoSul6ygoW5cW2NEMUgFIMUwv_Cf1gPewOhsELkwGphCI6u14WeT5Eke198_RW5twGnRhR58WnulyY4kh7V7r_SKrKUJzVvKXBQ3jkigf4OaG1rVoaLepyvJQx6vPYxob9f5_RzOEnTbTWTHniBf4-jBjurEVoIafFlJUcAJuQ1LZIaZsuPIfLS_hA9Lh-bHeX5ATVSAb1O6j--Bg,Data Analyst
Data AnalystNEW!,The Leading Hotels of the World,"New York, NY","$120,000 / yr",https://www.ziprecruiter.com/k/l/AAJIGU9USGxd3F2LPKv4BBY2oV8C3ikMaOX_oW_YdTe7vhgkc8w21m3AKetdwnng-FsEfUE17oisbh4Ckn0JmWEQnxtyhbFkKb1RiPY2DQMztDlAxJugaj3BSssSHFUzAcre73BA_mpWaF9JRX2CplsNuxAb8SZni0lGFvbKRCQOxDirA8Jkx20R29dVQ219ST-C4oo1kH96MthgEprpTIiHEFbIEyKsDUk9XzgHfTSV8Ftj54gVyKdwUjpekHyk3d6YxqpadwBh0aYa5_p6QHSNLJxuEbT4wpaW8bNWiYC38IuwmDHbONc6ZQ,Data Analyst
