Title,Company,Location,Salary,Job URL,Job Name
"Senior Software Engineer, Big Data",ZipRecruiter,"Santa Monica, CA",$105K - $145K / yr,https://www.ziprecruiter.com/k/l/AAJjeqEL0D6EH1G7y7Na8H-jJdcDlqsLRrQb-dgaOclsxww7O9Vuk3eeZYkced04U75ugjqE_3hDjp5lJXXwVGNJl7xxt4efsWGDNCuuqrogxKrhU5m6ZbjSF7vLpzlVpeMp7hkLdukkCW2NbJyR6lKZMauUD8wZlj2uMXnSk_L-Lsej2Lu3MOzGhuKEjTR448u0yRRavN_iT-stKtD2bOsadu5KoyWiKAkGexSs1I13V_ozX9opDNrFeSu7TUQJSouoPw_n_xl_Q-u5DNuh3KCO6DSauYZmpylgHVipXYbmfJ9_6o_Cg2KpRIL4BZ2r8eWXi_A,Data Engineer
Data Engineer,CyberCoders,"Washington, DC",$130K - $170K / yr,https://www.ziprecruiter.com/k/l/AAKhwYkKjLGDOh4aHPMT13FxrWp_49qqpCF65pyyfVW67-bthG0lB16oQGbjP5kZ4iFRzd7vMDFBF7b7h3F9EznSEOSpCjDY-7ibKn9HV_xCYpEU5eS215bycgH3k3WRrtLOzzZeWqUW-tDOTo3nJAw1ok0nZWgJL4lUTBmhvf_MMDprTU7I1QDin0NEs9Jv_X8UwXEzA96BwXtQnncURyV_H4g7Yt94IcyBH7t0pV5GAYtwAMZP-y3rpGttU6YsaDo8amsMbimP7SRba93m8A5sSREBFVv5kvvUxADt5xhQu8KdLjnwZxDHd2VbMPq9T5nYpdg,Data Engineer
Sr Data Visualization Platform Engineer,Pacific Life,"Newport Beach, CA",$123K - $148K / yr,https://www.ziprecruiter.com/k/l/AAJYft22pEWdvZysMXlw7TalUFRe-ak3qXI6XgpjBlMGSbC655rRh3Yc_VAm6clRyOxiLAd6TkQjc0H4ixAYij2sGSik9hOq_ttRlhb_MIoB1N2OhGtiJB51w5zfBTcDE1QyQ3KgmQiwlfhEhgLy2KxdhBVvWvVRIUmv16Ku8N4pOXPNXjkfqwEVwkADwhGHx2uvUKB_L9vBxng6KGFbh5IFrg7ByX0i5t_u8wdp8HClpT4x33-HeZPwNcg_4HhR_tW4EZhr3oguLYpgBZ3c-P3Kjrny0cbXCW66X-0y6e94vwMGCFKhBAaSfsTkdDBevnswYZk,Data Engineer
Data Engineer,Techizee Inc,"Columbia, MD",$100K - $120K / yr,https://www.ziprecruiter.com/k/l/AAKT3A8D7v1wFooqyHwnuHfCxUjt98HMqPwiK6I81AyUxuTCkJJ6R4NDXY1l6QV70jSyjZIlYIu4yg0k6z5OYDSuiGVpBh53s6nuiBgmCs0rmtIKUfBtBWqrwCH9_rIqZDi8Aa2OWAaM9rMnGlDiRKker0sPLb1tqwyRQUxdqLHkXEYnfxpgcW3EAaZZ0HD6EJerRTcJruiomoAyEAXqaSB0VSGW1IEcVgElewPwtooallg9lVRxGTP-3L8hhPpeH2EF3Sz6zj1HanlJqrle-74zSB38GrUjt9Ru9b4iZh6RHFyGDDCwEJWduw,Data Engineer
Sr. AWS Data Engineer,Logist IT,"Remote, OR",$50 - $60 / hr,https://www.ziprecruiter.com/k/l/AAJ79pYpfZvKj8-NqogdVNUqUhJgBe3pdBpbRy0uYehwHG36qaYYonYm4JGmeC22P5HSR_nqXKegG65caNdri2cWZZUMN_BS3FqeaPYOo9625A9e_Iraq5KIACEmK883GIIMDxQ2zFCFb91a4UcwQynbVcYsFKhRe5kY3PDEFU3JrCrdBiKB8QDJJ6gvEyMwEZvy6sh8DBsgShfzd1nYqXniXzko_XKDfzCi3W__3o-orRXZgdOOEHkgMAfhSPtfLMPg2LqQeW9tobh06s_4fKkPUNz1RMI3OQSxfMCTjz3sMnDuZTCKFtcp-UT_gRwHpYfrNY0,Data Engineer
Senior Data Integration and Data Quality Developer,Presidio Consulting,"San Francisco, CA",$75 - $120 / hr,https://www.ziprecruiter.com/k/l/AAJ9OZnm7PmuZTszZMOIY4jyMstf3TfOaMetm-yxDdEwdIUrJ3p4dzvqUYUurBcgny3mC6AJW0gl9uoPedbe-LrOF7zOC-jXl-axrSNJHp5MLtOCE9DQ4LG9sJU25oXuM7L7oFg6rdT6nz-5K3LTQ-CinW1zFwYoXhKAfUOjx1z2WWiE39EENiK4TAgaF0TfFHE5EDhxTrgYXlcG-mTu1CjShEcW1Eht-1DMYzCjBfFKAU4pidWphb24EdkSOIhYhBOfSrAqideH6M6DIGSaPWi9JsEWU0myzsFAL6Pt_VMJbHB_I_Op5JEW-7DTW1S58gQHAus,Data Engineer
AI Engineer - Focus on LLMs and Applied Data ScienceNEW!,Stealth - Private,"Denver, CO",$71 - $91 / hr,https://www.ziprecruiter.com/k/l/AAIpeDgqpBuZzaQBe2zloipnyKGl_EljIEIyVRvZxSYGNoFufu21E-kQRphDkuNW-FNE9b4iCM-P6vCNeiFfgoWqeafw8H2Mo0xdbsuQ5_RH5TB6syUimDQx5nklfJelDqEVAoImV_seHlmtP67hOeE6w3um_lPxYxl6hfHlLHfUFj65h8JO7uh8CeRrYoyOIYuG8y2qjEerxlf3i7F-kV2J2hGvByivbClYeylRb52cKD_QI8tv9KY9jtW6P7WZJkfJGHh1nVgeLWyDuQuhA_7f9wqPKRpGUR9WMc3B-IAAq-PdVrMRClRBvQ,Data Engineer
Data and Machine Learning Engineer,Vertex Innovations,"Washington, DC",$85K - $105K / yr,https://www.ziprecruiter.com/k/l/AAKGMgjn9JC9Aj6_qVpLhqPoZHE9Mjnzvfwax2sGqnGD4RthZ3SZ3ZA2-VCt8BVLDaofJMTg3vC36RSdeZ14X3sjQ3SxD2CjYbKdNI88RJcwab9WTZ8XmNxSd5bDCzC5OoIFLitcM825VPhHizit4w1_JNYoEKmWtULSJMQrlKYxuUJgfFpMaq3Ruf_mhDki3ZYIvQhs0kZG7zfn0bhZuCwUoI0rz-dEoMSSTFkbrqz5S-DBrn12LbNkG1fbM_LOZjHFizb7tPiRl1dzvpWBUcZu_7_vKH4zPq4LpQYYeZNT9cLhirtshCwxTg,Data Engineer
Data EngineerNEW!,Avispa Technology,"San Francisco, CA",$65 - $90 / hr,https://www.ziprecruiter.com/k/l/AAKHAEDpQw7TqQAXYSPHWdkWmvJCRGwY4oqjv8GYe5-DEP2Jtg3TcPaVgZbMGjP3Pesvq546nWkd-rbOXSXB0FfpX2ulgkWWpN7V8Vc8rlN1tvsX_I8YMTytmOHpKhsdTc3HiHKlzR9FFt5UGkzRKz9OP7splPuhzVtNsd7YvjPKx6xkeDLxBLMEyFbuzTRjL-CUJk_uS5uuTw-BhZ6e1I6vp9fseIq9qePRcx03LPW8uW5zHMN0a6drY9dY0fM8o-KVkctq9ng3iN5u-IlowA1I2HKR5FOcR3WrUe7qEoLOGUR9SbrBG8hq,Data Engineer
Data Engineer,Tekfortune Inc.,"Piscataway, NJ",$115K - $138K / yr,https://www.ziprecruiter.com/k/l/AALF5_lucEXQFv28lq3EqriyvD7m_KAKM22itGx1dWhr_uCZ4zZQTcNGPQqWF-QBMClyAtJdm5ucKNe3z6_PjEq4pohlFKSrF_SleG6r15p60jDRfO7EoXdVzEE8TLxWkzHKdMUpqD-De8nNJobADSmn2cH3NbZAhDmOns0ZMAYMt4t6gTSWyVomieum88O_WUMZO-4-hTdfRrzJq8UNnP3tdECIE3bMHyYu3irckQN_r46GBjSJTrNrIYZ0kRjgBcXvlIIX-Ap6UJE1Ys7Q3g6BzhR2YxtPPuIOftYrX91i8iFB3j0sThbKyg,Data Engineer
