Title,Company,Location,Salary,Job URL,Job Name
Sr. Data Scientist II,Pacific Life,"Newport Beach, CA",Salary not specified,https://www.ziprecruiter.com/k/l/AALHbfJ-R99vlR4Eq3ftmYJPNIQpaRcGKQ4S3IIPNYSfnzWPwVgCmLH7nyg6s7iRaeEckSFrLb4u_ksAhs66tV1dmWk1kkIxtTv4iTHxARMwb098lWQN8r1-2AsOD3xyPAC7WodGlnb6YnXsOLvkIT2zfjzIIA43-dJ6ZKoefUMpJmKnJT3Sfjw6WP3UuxEw80IdY4PspOVf6iQJMXX6iseJwNtdq4J2jASVKku1-dnLENAfyZWilMsIKhTuHMiAubF7UpqTlAI9ny4a4mgS6QgYGs7bxlsbQlqAI-tLsdzHSaWIsRMIW76mlxHcB4cYcn-U1k8,Data Scientist
"Sr. Decision Scientist, SEO",ZipRecruiter,"Santa Monica, CA",$145K - $178K / yr,https://www.ziprecruiter.com/k/l/AAIUjYSZti4jz_8o6qshnYUwEJTDuuya4D8dzQkKxjhnt9b8BX2mnqLmOvzxS7nSGfEbAhqjm659osyEua4b91z9KB2r82ReoLJc53yiGKnwtGWDHS9xOXsYXCPxqHZssGfDf6s1nMHkuSvSix9evX4-DOyDoNKpw2okCJJV3zceHXYW2_LXV8_cYMbRwrgZykMzfmg9B06oBVo1x7vYFkrF5EQbXAltyoMoea53-M0p4TWhz-HD2H5wh1BWHqdcxeDBR0N8Mbl5ocxWwLgP9cJCp76slRw0GHm-ibzFV02L11ThPN6ARK6AcXlhxL0x2O2bSFI,Data Scientist
"Data Scientist, Intermediate",Northern Arizona University,"Flagstaff, AZ",Salary not specified,https://www.ziprecruiter.com/k/l/AALf-fuluU3BZiUa9DVZNGupC5qucTD9fjv91HCYQJ5XAOR7zhOkbUFMLz1odNFfFiyFW6j8PbbsnsBmvNKoyy1bVJN3jihQJj0FSMiOkMrLCJJnW78uZ9Kcjz_Tbud12lgBHPn6S5EiYD07kB2UgVKtdpeP7tHLECFgW50imu93h89UPSjIv38s8lfkCWMLG6N5TLwKCfd9Tlj-iqmzccShS7PLbFpiMmVWas2kyEMtid0t4WOFLCAx7fBqEVj4oIFIYYLFyFOA_LBil2vEafanyirkE16yQX1hTtJjlU7XN2HAh4-V6LLqEA,Data Scientist
Sr Data Scientist - ML/AI/Databricks - Remote,Molina Healthcare,"El Paso, TX",Salary not specified,https://www.ziprecruiter.com/k/l/AAKCUtrHMRViFVCo7IrZFIeixpGUtOQbuEnJNMmUCVQAoWb7-DjLBhkL278CS-MCFvGScIcnpSWXvsvS6pAeYvF7WXk5exgS5hs9PZLZGVDoSAckNLg2YbQTqCqPDR6R9n5TJQbzAp3vSlemwUwLjE91QdPrk5J_crm2qjhdrh2kwTSItapQ8wpXTUAu9p5qVnJ0trIRZ0cCpyKDFHvhJfogP6v8FQwOq4VuAAwmf857YyYH7EcpJhZNXmjcRDEJOjJy1Hx91rgudSWVCsGzoqMvZCyUb7fxT9BaUIHMZJRP8Vcnw8OBsXeHZH2z6Wnct-FGVV8,Data Scientist
ML/AI Data Scientist,Maxana,"Spring Valley, NV",$130K - $150K / yr,https://www.ziprecruiter.com/k/l/AALW9yeeX0nAbyvHWVyCvs1iUxWbl5Hu0jVqd9UdaZ18HKnffIDqQWepwqCbfvXNWlK-Y5cflHmvgxC5JC-xYYi4pToDaSKgnHiVIkeJnOFb4XwtygfQ4fLdSB7P22-INMJ5R7VywZ9SczAp3l-C8dMioxM63y4IW6KTCJjTOlEBROn9VtgkbvpYpRFQrEi_-xsg3nwAFwFK0n19Ic3QiVgA8CHn_uj661RydJTiTgUmn03WAGp9MYgUTLxEly7syr84U54zLANJcL_-FtWPogHr5kk_iswC7U4DcdIbHaiR6BPfMhIeE4ctWfwyGfXbYlFthAY,Data Scientist
Associate Director Data Sciences (Biotechnology/Remote),R&D Partners,"Remote, OR",$163K - $220K / yr,https://www.ziprecruiter.com/k/l/AAIsJSXFfm2DM6x_N8hL6NLgdWQJH6wqENXjaNZbZ8l2Mh5HhgNGM9qLE6GTHivCO2MTa2wzuqF2jYc1CTE2jGBHSJ4qn5ciUL1qom279a9_JXVduAYp1WqSPL8nvwy0URc-fxnnr0ba2YIZ5HRenjBH4ueum8MaUEoCGlocsEl4d7o5GlkMHRSzy1fZLus3xd5ewh142nntNoI28X059bfcbMFjsPzN4wqrTl_ll3Gnj5cPku-K590O9PjpE32mT87vlF6ijxmtNxvpeFFBH59PC8L9AkUXpphne9DCfD9hKVuJaiaXidKN0RfsVWiv7a60qVA,Data Scientist
Data ScientistNEW!,FIT:MATCH,"New York, NY",Salary not specified,https://www.ziprecruiter.com/k/l/AAIE9CcdQWtPLl7Cf00HGWWeiE1OhEi6IqZe3_g0NNT6YRTFHkwElqnO2aIbDgEBXEK4TSkEmpXbdSs1uy35okQAdtccrwwBHNwM1LiYbsr4-2IdWFfwSbjmJE-nmepFSaYGInXncrY4N19xlXUlON6LpSIGhhj1KzXdEPaWsRgfYyjKfEfFIgIGPjsRIYlUi2xcZXddvM9ROtSptE_5SuK1rzWL6C-nEHH6i08WqJorKxbhJLAbMHrkCIQknUkLOXsTnqO8EDZTQUUFpsnPpDgu3r7rG5SxruOktq8vL36uMB8vgglzyjWR,Data Scientist
Data ScientistNEW!,Rishabh RPO,"Los Angeles, CA",Salary not specified,https://www.ziprecruiter.com/k/l/AAJohibF5Pp4aKVanClnWVSHELsODTTGDIOP-k6hYUsS_XQSvMXTb2ek7a6ta7BdbVdDbExiWpakJX1zxpgwDN2oskC3cZ4ojiLA9Q0tsQn5hwbTd6M8gahS_bJfDwn1fImqd0Syagi2gHqMjnrFSNzOZg5rjGJ_vGQId4Msofh-wRPSWoKA-zW-s3wMz4j81uN3s_mNlIt1qb3-wDcCdqwwMTRCf-xmUCqvbtNh3InwlMHWBN0MSuY2cnNokdonIOooPRHxez-g9HR6t-eNetTEQWMhz-xMXZ2o3jR8KMf8Irb0K_MvBSQh,Data Scientist
Data ScientistNEW!,"Emonics, LLC","Raleigh, NC",Salary not specified,https://www.ziprecruiter.com/k/l/AAISwjMCbd_fW9vy6289nA10woQ_9aEyg0T-rV0nLTmWtUCNFufQznVvW2OXeEsD30795qtaMSNqDD0mgaXNAfpeK_zReNqzyBIW93MR0mP21SkZ9Oy1x6jvr2ZeyHBj8D6yxqBSGQOCoAi7Su6ACS6znOW448vfcFYH9TfpvLcLWYHaCZs_udOSYDnU_O_pWow8IeqQCoztxwsY_KKNWkAiFBqIwSY4fgJRsgoIjQrSP_llwua0o7yGtGhr_tCEeUkzpLzIURRxYnistLq8ehGJ6AKgJQNeZ40-q3A-A1QpZlE7o_PX2k5y,Data Scientist
Data Scientist,"Perfict Global, Inc.","Pasadena, CA",Salary not specified,https://www.ziprecruiter.com/k/l/AAI_D4xlLg0ePu_HRwCg99f9hBzPIPO4dtjWNcYQgSgcksozeIWO17G3JEJY8KbPAkZx2AcBHA5CwLcOJYBCttDwq-jzRnhBycDcRLIvVVnCsfiOAcb_Viear5Mi9qCzDKipZ154Yci5jJ2Rap9gf3OkGZrzmTy7snlOp9ywnuR3W_alEaWP1NNvoDK91f-x5sEbXQrsiA-Msu-VYHYFs2uf0jLmO5JbrndTn_xwMeQEml7YE3nIBBAJIJcB1ytrjrb-hohhUOhxTl4x3an5cueAwFcfYtQ3fIQwP49Rdr-scl6RQIoLxDzqXw,Data Scientist
