Title,Company,Location,Salary,Job URL,Job Name
"Senior Software Engineer, Big Data",ZipRecruiter,"Palo Alto, CA",$105K - $145K / yr,https://www.ziprecruiter.com/k/l/AAKXeHAP9iG_h1VmQpMmz3inMTqs1SQf0BI43BSnw6EaUW-HRqOqUiYU5dsZl-P1t4d4THi_ArYPLo-BBA7hsM_oaZxUALHpZMe4p3byil-fV_FE-mBw6-MuYRTRxfhqpZzohHv2zEGkZOt8q7xC3knSEKWtiEuXQG8NX36RdPAKUcG1828XcYn5ibPiatW_66niZqsaELKopOP46K4jxoU6SMg5IZHuOHxpnhnIv2X7z0wgex9ghk0X5W0KJ6eWzQPXORtKs5LyhVLJ5B31h1GA4l9YLnZaFkwVc8yHgONdrH92K967CGidV9iakTrLWcZO9VU,Software Engineer
Senior Software Engineer (Rust),Jobot,"New York, NY",$70 - $160 / hr,https://www.ziprecruiter.com/k/l/AAKMcKjpX80BWzL-mSK9vc5wPePcLTGo2ZucybZPeKOwaj1rXNFzZ_6t290OoqQv-72upt3bPmKM6XAoyE03xVdJN8b1-d8FQFvBCNFTZgugl5SVKfnwWN4qdqg21zllOsR1ujIl4Q4U8hghwsd_8FDqBaTZQ_5zgtYuOSQNzmAWCEPtO_JUjUtcUFhcKlV53Id1k7cEcc_mYk3J_rmfJqD73dlWU7tVa_1VX88XEGP7GFtj_n_VeciO1z7NN7MxybSCCzIqFzbw41MZdx3FhgCI9BOfCEg80iR66EAJ8LDjLrYqRJ7juRPXcmdYMRw0ReDOcto,Software Engineer
Software Engineer Lead - API DevelopmentNEW!,PNC Financial Services Group,"Birmingham, AL",Salary not specified,https://www.ziprecruiter.com/k/l/AAIObtYElEglxiF9MIOrF6tTe4nvFouzEAue0FbCRRPhAUbS8qD847LMtTF9b1C5UobZO4V2bERiIQxr9mNTxl_fp5fpUAeqaZZm09s5igRd0AWe1QdCBZNZiFy8apQ9sj3U3JDN4YP2X3ONNqWmtDngP1bafp3_1T6yXpo36qCdESU5NMl8Z63pJL1GPQ9FMH0_mmq4n7RiNbnfznBp5uDbr4qH6erYoB4wOdgpOu7JZgDbouuqTb4AkF-apKP9nNMm47L3yo4C0aiOs9VWzoFGu6QiRRr4wMZhnxr-KcpKWCob2wOdXAIf23HcZFoZSODRx1Q,Software Engineer
Software Engineer,CyberCoders,"New York, NY",$150K - $185K / yr,https://www.ziprecruiter.com/k/l/AAJdNYp_relkh_hUQA1lc1E22V5O3o2Jgn6coPNPMIPSbP65IvSkQMXygtrptGpmguEntRJC79oGYxFFm735VmVdCRr54QSGruyeuoZdHuXHVOoKH86GkEZWd00JFlkh8Ink13AhPp_3m7DM1w11z-CB9d6nHihi6KW-ySa6JLfNB3h2gdEe-fZfzSXESQlf5uQsnwgEJ2Hn5lvSb9d9sBFvnN1JhxAlbHknDneERUxS-v1Yf-3_f3xIhf5iwLm5KPDOtPajviNzrkVzB-D8xHF5vP4Sy_xYs5ZyzOemTxPBS4LJHBTsh9i3s7WB53dN7ed06Es,Software Engineer
Senior Software EngineerNEW!,MCKESSON,"Irving, TX",$125K - $208K / yr,https://www.ziprecruiter.com/k/l/AAIZ7daJt_kxNZ56AwvG5oaw9YNGNI33yEYof_azPBeXGBWY8BNf8Ah4KoHA8iUBhHyi7Go4ddXJwYQbunSmtiA-gIvCEttXz5N-ffM1qJN98ElIaxviCIMc_HM8_JjQhQ1TAAHBdlofY9LnbCaAc905rZAJy2YiHR--6ABUQgheSBwYBDG98DMsF9U4UJnzFPqexPD4wF2xuPhU5z54IwWBWYCivFK2FeHPvNUYqHtG7LLcWKg_jP9DcUkBgPV2roq1rbGx8SpuqC3rQXeJ01-qOSgO_jYGC18qhvTnaD6XcFgd2m0juUzuyunIN2isCiCqbSc,Software Engineer
Senior Software EngineerNEW!,Monster Government Solutions,"New York, NY",$134K - $177K / yr,https://www.ziprecruiter.com/k/l/AAKtf55fMDzzbLot6NuC4H9xsRWhKsLHICKJe1KI7SjNKI3I7UbZmgi2Oeo4q14em_Q-w7NWLD3w9oD3icUaCsCsZSuh5LMvgNdHN-rBeJhtDVRk-4VDYZheUPqK7cIArBH-0BKACu5G1xDgjYBsxAy5hQd29wjRnjj835UpTzbKqm0lJjB8p7tGSFN65VPUMhG8KzqHZgvSbgJCIVKsdC7O3lEYIheEBxeAqBgmfBPcnOcgNDXgnpJt_QLyweLRqZjAPUeT-vna5PM-G71hVHD1JqPTHUlrgUquSlGl8doZk2vBO7MQA4uL5Ap7hcWs8Pu77UM,Software Engineer
Software Engineer- .net,Schneider Electric,"Louisville, KY",$112K - $168K / yr,https://www.ziprecruiter.com/k/l/AAJZC7hzN1iCRsguUTmgmgcHCt85pGCz5nEt3qT7j-Pbv0IIM2AP9GIgkQ4vo2xNqv44hL1pMrx7gFGhW3zSJN5X0ktL7HUf7q-w1oP69tFijs4HNhHOmCnOOfvT6OyNkJwc6BaFZnpcH1v9a8W0zagiIb94N5I4G1BDt7aEu-tG69lxdploA_dYFvPzX1zli_bAZquD1_0lgG5aQPCMTTx03lb6LlimbbI21Uc3trVCCxsZard0iiAW_VZSXlfXl5u_Sr9dQljlRjrgq95L42SbAY8Zpk1ha1jcte_Ij54O7aiUxyOWzA3f0IEMTH1FwEgfvwM,Software Engineer
Software Engineer II,GAMA-1 Technologies,"Chevy Chase, MD",$104K - $147K / yr,https://www.ziprecruiter.com/k/l/AAKE-5ps3X7kNHb_PfTq2xsbTBXSwrwoDPNAGpOJOYXyEdMxpejyvaR-rEiNFd_K6g0Y1LGeN7UHfgMCI2pGL3RCiIeu4RXGDhO9B7mTnxJ6lASXQfXw8L1Mkws8uVVjIEYqup19I1GKuJb8pDGYwOVB_JsT8vRtwmT-fDLSepQyckP6DzqwNfsdd1m8wceKPYjgDErm42J5WDY81hS64Z81PDE_x0gJBeJRwXFLK3iELpbVuGvaRYbStsCBAccp2KEb785hsMvb9zmXzTxfFeLG4sGPDa2UMgdHoML-CMbucfwYCPNGHMwUVN44dvFSHJ7zsW0,Software Engineer
Software Engineer,TecRecruit LLC,"Irvine, CA",$75 - $85 / hr,https://www.ziprecruiter.com/k/l/AALLePUIhbJIss1Z2Yk2EygyQmNlGkra5icFOTANn72YvD0RKCve_O3k1rWmOb9waiy5GV0UgVfejwUa7nBz77lwidmGlAXFUQErznsOMWZ2RPb37qlU6fGGNZ43fr9EIB6DVwGbJV_qt_giNbi0SiAvxX91isZfmARILnLCWivmm6MkcwbM3Xv55bstIKTYoHCEMePen10AkWMw4pgIWY9wfPNkezLAB39xKYU1b4Pk_6SAn408L-pBJC51DYgBu3D5ProHTE-jZ4SuKghT1hr-wJJU-1zp9WwttXhIoVNAVDL2wC4AzKWlDLqqzyYuQdjmF0E,Software Engineer
Software Engineer,Starr And Associates LLC,"Atlanta, GA",$45 - $60 / hr,https://www.ziprecruiter.com/k/l/AAIdsfRpQFCIgB6M0BQVK0tmF7Hfuaygg8l12Y8dJTy2LK6XKL_1pZOhqMXLVML26bS7DotDaqhgeLeFX7f4fzAy4rqmFWq1IdmLeYQfxwWgC5KOuCmwCZQVx5p85WL1out2X-1ZOnNXz0d-yI1JlC0eGClsvwTzIj2s4ZZlwnQPDWdi3UYr-_iueeLIBzR8UMYqp0tGIGPQtmTo0SMIuDa6L3qhSHZNxHPTccSB_KfEbnpihAkP1I67mKkNLeqbkqKOIYJERLngWcvWixsA60m27LoPVPMBe8y5Df8Q7e2zqPyZxp-RC7VIKlAPYs9EfadUQgfq,Software Engineer
